Class,Count,ZL,ZR,ZF,ZM,ZC
C0,24659,-0.7002121045956162,-0.4148916153564003,-0.16114387424581975,-0.16095880601752516,-0.25513359455994933
C1,12125,-0.3136808186070184,1.686272054421706,-0.5740206186477952,-0.5368245126210623,-0.17332750082838244
C2,15740,1.1606760770497297,-0.37722423238447406,-0.08691921809870569,-0.09484480892963676,-0.1559058588624811
C3,4184,0.05184321107024296,-0.002668147708916112,-0.2268049341935507,-0.23125593812529838,2.191364668744668
C4,5336,0.4833323493385,-0.7993897017144365,2.483221616666158,2.424743449096149,0.30863251435444533
